"","Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"260","Vkorc1",0,-0.998539868695951,0.499,0.932,0
"261","Xaf1",0,1.32037640981432,0.536,0.145,0
"262","Zeb2",0,1.32304956406056,0.72,0.501,0
"263","Zfp36l1",0,1.77172371178579,0.923,0.751,0
"264","Dnaja2",9.88131291682493e-324,0.905715743957404,0.88,0.853,2.18139863951827e-319
"265","Stat3",3.95252516672997e-323,0.901946508264394,0.88,0.815,8.72559455807309e-319
"266","Cnpy2",4.44659081257122e-323,-0.664251509113476,0.458,0.898,9.81629387783222e-319
"267","Cthrc1",6.4228533959362e-323,-1.40672095133424,0.199,0.632,1.41790911568688e-318
"268","Zc3hav1",3.75489890839347e-322,1.06472993295609,0.55,0.283,8.28931483016943e-318
"269","Ptgfrn",1.96144061398975e-321,-0.540444984176338,0.194,0.632,4.33007629944377e-317
"270","Myof",2.66301383108432e-321,-0.564889599265653,0.165,0.595,5.87886933350174e-317
"271","Palld",7.84082179950058e-321,-0.606874318920163,0.253,0.706,1.73093982045775e-316
"272","Creb3l1",1.77221347163255e-320,-0.713923787166818,0.307,0.771,3.91233845997602e-316
"273","Golt1b",3.0987797307163e-320,-0.3928047399091,0.218,0.626,6.8408661335293e-316
"274","Nbl1",3.52367618613977e-320,-0.764245459071188,0.505,0.925,7.77886754852216e-316
"275","Colgalt1",1.11683539242414e-319,-0.429105362281359,0.168,0.578,2.46552581231553e-315
"276","Col5a1",6.10171072613939e-319,-0.678302138742172,0.306,0.768,1.34701365990253e-314
"277","Nucb1",6.60970902319336e-319,-0.476166342408144,0.31,0.754,1.45915936396017e-314
"278","Lama2",1.37095805736258e-318,0.960619378901974,0.671,0.575,3.02652700743364e-314
"279","Elf1",3.92695232890123e-318,0.958348340008272,0.696,0.618,8.66913996128235e-314
"280","Fxyd6",2.94538618152067e-317,-0.767896664003456,0.159,0.594,6.50223453432504e-313
"281","Cavin1",3.79061837239086e-317,-0.682797780825157,0.412,0.861,8.36816911889006e-313
"282","Gpc1",5.435812062475e-316,-0.523232644826684,0.093,0.484,1.20000987091198e-311
"283","Hspb1",1.42471674740779e-315,-1.18002337370471,0.461,0.884,3.14520469157745e-311
"284","Islr",1.46301937928724e-315,-1.27205086830898,0.567,0.878,3.22976158171451e-311
"285","Vit",1.72199951485131e-315,-0.494724090499652,0.183,0.607,3.80148612898574e-311
"286","Ccnd1",3.82462193651892e-315,-0.698695733511194,0.052,0.406,8.44323538705918e-311
"287","Ift20",3.92804986114887e-315,-0.540341729464058,0.389,0.837,8.67156287347225e-311
"288","4931406P16Rik",5.37545352495689e-315,-0.520732578163296,0.139,0.548,1.18668512016948e-310
"289","Tpm3",1.04052151129087e-314,0.811143371891536,0.852,0.846,2.29705528832572e-310
"290","Tgm2",3.31306496366846e-314,1.18107033298888,0.468,0.095,7.3139222137945e-310
"291","Col23a1",4.44383698206344e-314,1.23180915899923,0.453,0.121,9.81021452160326e-310
"292","Pde4b",5.75319173152674e-313,1.39149508638255,0.666,0.308,1.27007460665184e-308
"293","Mtmr10",5.83571666930319e-313,-0.702813824825837,0.131,0.549,1.28829281191537e-308
"294","Actn1",9.3834830991054e-313,-0.696760929577664,0.362,0.818,2.07149772895851e-308
"295","Prrx1",2.85232336495015e-312,-0.630085163037311,0.332,0.786,6.29678906046394e-308
"296","Schip1",6.18750848967434e-311,-0.645487551157833,0.247,0.7,1.36595437418051e-306
"297","Sec31a",7.58193232360655e-311,-0.596891631200302,0.382,0.832,1.67378737975938e-306
"298","Man2b1",9.67931848211908e-311,-0.408813831127326,0.124,0.506,2.13680634811261e-306
"299","Yipf3",5.45610323408639e-310,-0.358599578605207,0.234,0.634,1.20448934995691e-305
"300","Snx18",3.35555727483616e-308,1.05924866900563,0.644,0.491,7.4077282399283e-304
"301","Plpp1",3.90652940207804e-308,-0.50804999654302,0.171,0.585,8.62405430802749e-304
"302","Tmem263",9.47068535295482e-308,-0.417708110871826,0.25,0.667,2.09074849851831e-303
"303","Ctsa",2.96602339033377e-307,-0.473321454104414,0.249,0.681,6.54779323650082e-303
"304","Sdc4",6.12030685150898e-307,-0.933205685892312,0.78,0.985,1.35111894053912e-302
"305","Foxo1",2.77719012729709e-306,-0.772075885240399,0.256,0.707,6.13092492502105e-302
"306","Tmod3",3.62340438171696e-306,0.902265435574853,0.665,0.591,7.99902751307836e-302
"307","Peg3",1.05869186221687e-305,-0.716720341924393,0.275,0.725,2.33716815502997e-301
"308","Ucp2",2.02926812901407e-305,1.14400860620007,0.417,0.074,4.47981232161146e-301
"309","Trp53i13",3.11225744242173e-305,-0.433886797426743,0.186,0.592,6.87061952989022e-301
"310","Gm26771",2.45501106147062e-304,-0.489367046758402,0.01,0.275,5.41968241930255e-300
"311","Por",6.4500257934927e-304,0.970330832363111,0.604,0.446,1.42390769417145e-299
"312","Rab20",1.09052760358423e-303,1.14913927032667,0.566,0.245,2.40744873767255e-299
"313","Fkbp10",1.53781080069168e-303,-0.452828623240073,0.166,0.57,3.39487112360696e-299
"314","Bola2",3.05233187350998e-302,-0.481606306240281,0.269,0.702,6.73832784396064e-298
"315","Eif2ak2",3.76047348003583e-302,1.16269768575101,0.502,0.227,8.3016212545271e-298
"316","Gstm1",2.76719185886087e-301,0.91628306654256,0.65,0.515,6.10885274762126e-297
"317","Lbp",7.57933428279472e-301,-0.981991197430236,0.486,0.889,1.67321383626976e-296
"318","Rdh10",1.02955664138515e-300,2.02768593379811,0.477,0.144,2.27284924152185e-296
"319","Slfn8",1.7126746315828e-300,1.14229330015368,0.412,0.062,3.78090051668218e-296
"320","Golgb1",5.55124258717659e-299,-0.505071976330097,0.302,0.734,1.2254923135451e-294
